Nombres Streamers,Current Active Subs,Subs Type Paid,Subs Type Prime,Subs Type Gifted,Subs Type Tier 1($4.99),Subs Type Tier 2($9.99),Subs Type Tier 3($24.99)
AYPIERRE,3336,2644,697,153,2622,13,9
PIEFACE23,3327,1437,1426,476,1428,5,4
UTHENERA,3324,752,2079,244,735,4,13
IAMCRISTININI,3323,1749,1142,844,1716,19,14
NICEWIGG,3321,2171,785,1053,2134,25,12
CIDCIDOSO,3319,1238,1644,629,1217,9,12
SOVIETWOMBLE,3301,1523,1292,384,1495,18,10
MANDE,3292,?,?,859,?,15,10
MAILAND,3289,1092,1755,502,1067,15,10
SIEGISMUND,3289,?,?,889,?,39,21
MINIMINTER,3286,2517,558,1836,2482,21,14
MNDYNE,3283,?,?,2627,?,6,5
XIUDER_,3281,782,2031,370,739,32,11
XFIBII,3266,1534,1372,1025,1523,5,6
ALLUUX,3263,?,?,1832,?,9,12
CONTERSTINE,3259,1592,1235,611,1566,16,10
BAWKBASOUP,3256,2033,857,1008,1981,34,18
RAY__C,3253,?,?,1569,?,12,23
REBIRTHZTV,3250,2787,16,582,2786,1,0
LOEYA,3239,2607,479,2010,2570,13,24
LEYNAINU,3230,2691,434,2330,2676,5,10
NAOWH,3228,1482,1277,131,1478,3,1
한동숙,3225,2508,196,40,2503,2,3
紋紋__,3206,?,?,2934,?,4,26
MENOSTRECE,3204,701,2023,218,683,11,7
SCUMP,3195,2149,561,371,2138,5,6
XROHAT,3195,?,?,948,?,3,5
SPYGEA,3192,987,1752,419,980,4,3
HAFTHORJULIUS,3189,?,?,1551,?,5,15
MRBBOY45,3172,2178,714,1333,2115,20,43
CAEDREL,3169,1227,1560,623,1216,9,2
EMIRU,3161,1647,748,686,1610,10,27
SHAUNZ,3160,1563,1200,685,1494,16,53
MIRAMASA,3159,?,?,2921,?,9,17
PHYZIKK,3153,2596,409,2097,2575,14,7
THELGX,3146,3119,27,3020,3109,9,1
TURUNPUG,3137,3063,32,2636,3015,27,21
PROJEKTMELODY,3133,2812,172,2167,2766,24,22
NIKNOCTURNAL,3128,?,?,1304,?,4,4
RESTTPOWERED,3124,2283,494,895,2267,10,6
IDREAU_,3123,2102,1024,381,2071,17,14
XPOSED,3120,2139,633,983,2131,3,5
STARYUUKI,3119,2556,371,1863,2503,31,22
IVAN_GRIECO,3119,1468,1282,920,1464,3,1
HUSKERRS,3110,1767,963,765,1745,11,11
KAYZAHR,3107,1949,844,1202,1920,19,10
FARFADOXVEVO,3104,1460,1265,680,1455,4,1
ぐちつぼ,3096,2118,680,1220,2053,30,35
VIO,3092,?,?,2873,?,1,107
LINCA,3083,1912,905,1360,1887,17,8
POINTCROW,3077,1780,932,752,1724,32,24
DESST3,3069,2168,620,1459,2164,3,1
DVM_MEDJA,3053,2022,653,748,2010,6,6
TFTODDY,3051,?,?,149,?,1,3
GEORGENOTFOUND,3050,1802,841,839,1788,10,4
UNSYMPATHISCH_TV,3045,1433,1235,695,1411,16,6
악어,3039,2519,13,119,2517,2,0
懶貓,3027,2685,19,1031,2645,26,14
RTGAME,3023,1670,986,709,1643,16,11
MINOS,3018,2518,364,1988,2506,5,7
ROBCDEE,3008,2142,611,1282,2083,14,45
KAMIKATZE,2997,2546,318,2058,2511,18,17
BOXBOX,2994,1024,1531,286,1014,4,6
FIFAKILLVIZUALZ,2993,2300,493,1648,2287,5,8
TENACITYTV,2979,?,?,2022,?,5,6
LUCKYCHAMU,2961,2561,249,1851,2544,7,10
AMBUSH,2942,?,?,2074,?,22,27
CONNOREATSPANTS,2938,1354,1203,538,1347,4,3
GIGGAND,2917,1779,889,1361,1775,1,3
PIJACK11,2913,280,2167,44,277,1,2
COLAWAY,2900,2603,246,2279,2554,24,25
TASPIO,2899,1118,1372,419,1112,6,0
한갱,2893,2672,126,2160,2662,4,6
JONYJOE7,2890,?,?,2846,?,11,1
狂暴西南2,2880,2712,12,1816,2698,9,5
CHEF_SWOLEARDEE,2872,?,?,2689,?,0,3
MUTEX,2869,2438,279,1802,2412,15,11
FREYZPLAYZ,2869,2674,131,2342,2660,9,5
CHRISMELBERGER,2857,?,?,500,?,39,16
ALPERBICEN,2854,1506,1038,966,1500,2,4
F1NN5TER,2851,2164,495,1645,2144,9,11
SIXENTV,2844,1585,991,1071,1560,15,10
小墨,2843,2787,6,2337,2777,4,6
TOMMEY,2838,?,?,1580,?,8,13
JELTY,2825,1114,1304,251,1110,0,4
MEGAMAXLIVE,2824,?,?,190,?,1,1
CROCODYLE_LOL,2824,1816,760,1260,1785,15,16
SETHDRUMS,2818,?,?,2495,?,27,25
IREPPTAR,2793,?,?,2377,?,28,54
TINAKITTEN,2793,1958,528,823,1934,17,7
SOLOGESANG,2785,668,1696,171,653,9,6
DANSGAMING,2784,1384,1045,503,1360,22,2
SLEEPY,2777,?,?,307,?,32,35
BIGBOSSBOZE,2775,1736,746,559,1725,9,2
THEJRM_,2775,1712,732,934,1697,5,10
VEIBAE,2771,1951,527,805,1903,24,24
MOKKA020,2765,?,?,2521,?,4,4
SWEET_ANITA,2760,2399,234,1931,2352,17,30
LUIDEMATOS,2758,840,1496,136,836,3,1
林芙芙,2756,2755,1,2568,2668,4,83
JUKEYZ,2750,2428,239,1992,2428,0,0
AXTLOL,2731,496,1809,107,495,0,1
THECHIEF1114,2727,2275,320,1764,2264,8,3
THEBAUSFFS,2725,644,1664,152,637,5,2
TURGUTUC,2721,641,1684,210,557,35,49
MERK,2718,2072,452,1441,2054,14,4
JONBAMS,2715,2019,490,1382,1963,20,36
양띵,2708,2301,7,274,2297,2,2
RAZAH,2705,624,1702,250,621,1,2
GMNARODITSKY,2704,?,?,1342,?,8,4
YUNEKOKORO,2703,?,?,2611,?,3,5
CRYSTAL_LOL,2701,626,1695,291,614,4,8
