URL imagen Streamer,Nombres Streamers,AVG viewers,Time Streamed,All time peak viewers,Hours watched,Rank,Followers gained,Total followers,Total views
"
<a href=""/kamet0"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/9e12862d-a8d0-4df2-81aa-e2241022dc98-profile_image-300x300.jpg"">
</a>
",KAMET0,"16,345","149
hours","419,458",2.43M,74,+11.8K,1.46M,108M
"
<a href=""/buster"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/96d66837-22f0-4393-89c5-2e5c2408485b-profile_image-300x300.png"">
</a>
",BUSTER,"23,818","64.1
hours","162,925",1.53M,75,+52.8K,3.19M,114M
"
<a href=""/jltomy"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/aa2bc80a-e317-494a-a94d-7492889e4f66-profile_image-300x300.png"">
</a>
",JLTOMY,"13,138","208.8
hours","261,719",2.74M,76,+14.4K,1.09M,50.3M
"
<a href=""/alanzoka"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/15cec952-c1ba-4ff8-a79c-53c2fa5bd269-profile_image-300x300.png"">
</a>
",ALANZOKA,"17,763","117.7
hours","147,051",2.09M,77,+47.7K,5.90M,206M
"
<a href=""/biyin_"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/9fc6da44-aadd-4c82-8b00-7034b53131db-profile_image-300x300.png"">
</a>
",BIYIN_,"21,939","71
hours","174,435",1.56M,78,+139K,2.88M,28.6M
"
<a href=""/warframe"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/6afb962a-a61d-4b6c-a665-01e5efb72249-profile_image-300x300.jpeg"">
</a>
",WARFRAME,"32,971","8.1
hours","433,736",268K,79,+10.2K,1.77M,36.3M
"
<a href=""/moonmoon"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/3973e918fe7cc8c8-profile_image-300x300.png"">
</a>
",MOONMOON,"14,577","162.1
hours","42,066",2.36M,80,+2.5K,1.13M,99.5M
"
<a href=""/zackrawrr"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/a9ce83ba-c0bd-49cc-83bd-9d17647a211a-profile_image-300x300.png"">
</a>
",ZACKRAWRR,"11,131","246.3
hours","40,857",2.74M,81,+53.5K,892K,21.8M
"
<a href=""/just_ns"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/d61321a5-9a02-4f46-b718-70e3c4260d66-profile_image-300x300.png"">
</a>
",JUST_NS,"16,065","133.7
hours","114,216",2.15M,82,+10.2K,536K,55.5M
"
<a href=""/k4sen"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/794e906d-64d7-41ab-bb89-8fb159e4124b-profile_image-300x300.png"">
</a>
",K4SEN,"14,978","151.1
hours","66,627",2.26M,83,+23.8K,403K,10.2M
